"시료명","K0400 K04L5004Reformate from PLT"
"수집 일시","2018-07-19 오전 8:45:48"

,"mass %",n-Paraffins,i-Paraffins,Olefins,Naphtenes,Aromatics,Oxygenates
,"C1",-,-,-,-,-,-,0.000
,"C2",-,-,-,-,-,-,0.000
,"C3",0.045,-,-,-,-,-,0.045
,"C4",0.795,0.499,0.065,-,-,-,1.358
,"C5",1.383,2.005,0.408,-,-,-,3.796
,"C6",2.001,4.907,0.595,0.268,7.443,-,15.214
,"C7",0.713,2.669,0.605,0.352,24.026,-,28.365
,"C8",0.086,0.334,-,0.044,31.070,-,31.535
,"C9",0.007,0.053,-,-,16.884,-,16.944
,"C10",0.019,0.010,0.037,-,0.784,-,0.850
,"C11",-,-,-,-,0.007,-,0.007
,"C12",0.029,-,-,-,0.604,-,0.633
,"C13",0.021,0.011,0.039,-,-,-,0.071
,"Total",5.099,10.488,1.748,0.664,80.818,0.000,98.817
,"Heavies",,,,,,,0.000
,"Unknowns",,,,,,,1.183
,""
,"volume %",n-Paraffins,i-Paraffins,Olefins,Naphtenes,Aromatics,Oxygenates
,"C1",-,-,-,-,-,-,0.000
,"C2",-,-,-,-,-,-,0.000
,"C3",0.074,-,-,-,-,-,0.074
,"C4",1.128,0.736,0.089,-,-,-,1.954
,"C5",1.815,2.661,0.508,-,-,-,4.985
,"C6",2.495,6.134,0.705,0.294,6.961,-,16.589
,"C7",0.857,3.211,0.706,0.386,22.778,-,27.938
,"C8",0.101,0.391,-,0.047,29.425,-,29.964
,"C9",0.008,0.060,-,-,15.891,-,15.959
,"C10",0.021,0.011,0.043,-,0.706,-,0.782
,"C11",-,-,-,-,0.005,-,0.005
,"C12",0.031,-,-,-,0.558,-,0.589
,"C13",0.023,0.012,0.041,-,-,-,0.077
,"Total",6.555,13.217,2.093,0.727,76.323,0.000,98.915
,"Heavies",,,,,,,0.000
,"Unknowns",,,,,,,1.085
,""
,"mole %",n-Paraffins,i-Paraffins,Olefins,Naphtenes,Aromatics,Oxygenates
,"C1",-,-,-,-,-,-,0.000
,"C2",-,-,-,-,-,-,0.000
,"C3",0.100,-,-,-,-,-,0.100
,"C4",1.336,0.839,0.113,-,-,-,2.287
,"C5",1.873,2.715,0.558,-,-,-,5.147
,"C6",2.269,5.563,0.692,0.311,9.310,-,18.146
,"C7",0.695,2.602,0.602,0.350,25.477,-,29.727
,"C8",0.074,0.286,-,0.038,28.594,-,28.991
,"C9",0.005,0.040,-,-,13.727,-,13.773
,"C10",0.013,0.007,0.026,-,0.581,-,0.627
,"C11",-,-,-,-,0.004,-,0.004
,"C12",0.016,-,-,-,0.364,-,0.380
,"C13",0.011,0.006,0.021,-,-,-,0.038
,"Total",6.393,12.058,2.012,0.700,78.058,0.000,99.221
,"Heavies",,,,,,,0.000
,"Unknowns",,,,,,,0.779
,""
,"",RON,Carbon %,Oxygen%,MW,Sp.Gr.
,"C1",0.000,0.000,0.000,0.000,0.000
,"C2",0.000,0.000,0.000,0.000,0.000
,"C3",0.091,0.037,0.000,44.100,0.500
,"C4",2.278,1.125,0.000,58.021,0.571
,"C5",4.222,3.163,0.000,72.059,0.626
,"C6",13.501,13.384,0.000,81.922,0.754
,"C7",30.835,25.580,0.000,93.229,0.835
,"C8",40.572,28.511,0.000,106.278,0.865
,"C9",14.306,15.238,0.000,120.203,0.873
,"C10",0.703,0.771,0.000,132.460,0.894
,"C11",0.005,0.006,0.000,143.170,1.020
