"시료명","K1600 K16L5001CCR Platforming Process Unit Feed"
"수집 일시","2018-08-22 오전 5:53:10"

,"mass %",n-Paraffins,i-Paraffins,Olefins,Naphtenes,Aromatics,Oxygenates
,"C1",-,-,-,-,-,-,0.000
,"C2",-,-,-,-,-,-,0.000
,"C3",-,-,-,-,-,-,0.000
,"C4",-,-,-,-,-,-,0.000
,"C5",-,-,-,-,-,-,0.000
,"C6",4.707,3.081,-,5.331,1.209,-,14.329
,"C7",8.339,8.473,-,12.061,4.140,-,33.012
,"C8",7.226,9.924,-,9.630,6.732,-,33.513
,"C9",3.690,10.663,0.199,2.360,0.952,-,17.863
,"C10",-,0.397,0.012,-,-,-,0.409
,"C11",-,0.016,-,-,-,-,0.016
,"C12",-,-,-,-,-,-,0.000
,"C13",-,-,-,-,-,-,0.000
,"Total",23.961,32.554,0.211,29.383,13.032,0.000,99.141
,"Heavies",,,,,,,0.000
,"Unknowns",,,,,,,0.859
,""
,"volume %",n-Paraffins,i-Paraffins,Olefins,Naphtenes,Aromatics,Oxygenates
,"C1",-,-,-,-,-,-,0.000
,"C2",-,-,-,-,-,-,0.000
,"C3",-,-,-,-,-,-,0.000
,"C4",-,-,-,-,-,-,0.000
,"C5",-,-,-,-,-,-,0.000
,"C6",5.245,3.437,-,5.129,1.011,-,14.823
,"C7",8.963,9.094,-,11.641,3.509,-,33.205
,"C8",7.559,10.393,-,9.178,5.704,-,32.834
,"C9",3.779,10.857,0.202,2.210,0.808,-,17.856
,"C10",-,0.398,0.013,-,-,-,0.410
,"C11",-,0.016,-,-,-,-,0.016
,"C12",-,-,-,-,-,-,0.000
,"C13",-,-,-,-,-,-,0.000
,"Total",25.546,34.194,0.215,28.158,11.031,0.000,99.144
,"Heavies",,,,,,,0.000
,"Unknowns",,,,,,,0.856
,""
,"mole %",n-Paraffins,i-Paraffins,Olefins,Naphtenes,Aromatics,Oxygenates
,"C1",-,-,-,-,-,-,0.000
,"C2",-,-,-,-,-,-,0.000
,"C3",-,-,-,-,-,-,0.000
,"C4",-,-,-,-,-,-,0.000
,"C5",-,-,-,-,-,-,0.000
,"C6",5.724,3.748,-,6.640,1.623,-,17.735
,"C7",8.722,8.862,-,12.875,4.709,-,35.168
,"C8",6.631,9.106,-,8.995,6.646,-,31.378
,"C9",3.015,8.702,0.165,1.960,0.830,-,14.672
,"C10",-,0.292,0.009,-,-,-,0.301
,"C11",-,0.011,-,-,-,-,0.011
,"C12",-,-,-,-,-,-,0.000
,"C13",-,-,-,-,-,-,0.000
,"Total",24.092,30.722,0.174,30.469,13.808,0.000,99.265
,"Heavies",,,,,,,0.000
,"Unknowns",,,,,,,0.735
,""
,"",RON,Carbon %,Oxygen%,MW,Sp.Gr.
,"C1",0.000,0.000,0.000,0.000,0.000
,"C2",0.000,0.000,0.000,0.000,0.000
,"C3",0.000,0.000,0.000,0.000,0.000
,"C4",0.000,0.000,0.000,0.000,0.000
,"C5",0.000,0.000,0.000,0.000,0.000
,"C6",9.348,12.194,0.000,84.685,0.710
,"C7",17.146,28.210,0.000,98.390,0.731
,"C8",24.407,28.765,0.000,111.947,0.750
,"C9",11.285,15.132,0.000,127.611,0.735
,"C10",0.369,0.345,0.000,142.230,0.732
,"C11",0.014,0.013,0.000,156.310,0.740
,"C12",0.000,0.000,0.000,0.000,0.000
,"C13",0.000,0.000,0.000,0.000,0.000
,"Total",62.570,84.659,0.000,104.685,0.735
,""
